설비번호,투입중량(kg),염색길이(m),지시온도,진행온도,공정진행시간(%),염색색차 DE
FCM08,44.6,41.0,30.0,10.9,0.19,0.7530965
FCM08,44.6,41.0,30.0,10.3,0.39,0.7530965
FCM08,44.6,41.0,30.0,10.3,0.58,0.7530965
FCM08,44.6,41.0,30.0,10.2,0.77,0.7530965
FCM08,44.6,41.0,30.0,10.8,0.97,0.7530965
FCM08,44.6,41.0,30.0,10.8,1.16,0.7530965
FCM08,44.6,41.0,30.0,10.9,1.35,0.7530965
FCM08,44.6,41.0,30.0,11.1,1.55,0.7530965
FCM08,44.6,41.0,30.5,14.0,1.74,0.7530965
FCM08,44.6,41.0,33.5,34.3,1.93,0.7530965
FCM08,44.6,41.0,37.0,37.0,2.13,0.7530965
FCM08,44.6,41.0,40.0,40.3,2.32,0.7530965
FCM08,44.6,41.0,40.0,39.4,2.51,0.7530965
FCM08,44.6,41.0,40.0,39.2,2.71,0.7530965
FCM08,44.6,41.0,42.5,44.7,2.9,0.7530965
FCM08,44.6,41.0,45.9,47.6,3.09,0.7530965
FCM08,44.6,41.0,49.3,49.6,3.29,0.7530965
FCM08,44.6,41.0,50.0,49.0,3.48,0.7530965
FCM08,44.6,41.0,50.0,48.9,3.68,0.7530965
FCM08,44.6,41.0,50.0,48.5,3.87,0.7530965
FCM08,44.6,41.0,51.7,53.0,4.06,0.7530965
FCM08,44.6,41.0,53.5,56.2,4.26,0.7530965
FCM08,44.6,41.0,55.3,55.6,4.45,0.7530965
FCM08,44.6,41.0,56.9,59.1,4.64,0.7530965
FCM08,44.6,41.0,58.7,59.1,4.84,0.7530965
FCM08,44.6,41.0,60.5,63.7,5.03,0.7530965
FCM08,44.6,41.0,62.3,62.5,5.22,0.7530965
FCM08,44.6,41.0,64.1,66.6,5.42,0.7530965
FCM08,44.6,41.0,65.7,65.9,5.61,0.7530965
FCM08,44.6,41.0,67.6,68.0,5.8,0.7530965
FCM08,44.6,41.0,69.4,72.3,6.0,0.7530965
FCM08,44.6,41.0,71.2,71.1,6.19,0.7530965
FCM08,44.6,41.0,73.0,73.2,6.38,0.7530965
FCM08,44.6,41.0,74.7,77.3,6.58,0.7530965
FCM08,44.6,41.0,76.5,76.5,6.77,0.7530965
FCM08,44.6,41.0,78.3,78.7,6.96,0.7530965
FCM08,44.6,41.0,79.9,81.4,7.16,0.7530965
FCM08,44.6,41.0,80.9,81.0,7.35,0.7530965
FCM08,44.6,41.0,81.9,84.2,7.54,0.7530965
FCM08,44.6,41.0,83.0,83.7,7.74,0.7530965
FCM08,44.6,41.0,84.0,87.0,7.93,0.7530965
FCM08,44.6,41.0,84.9,86.3,8.12,0.7530965
FCM08,44.6,41.0,85.9,86.0,8.32,0.7530965
FCM08,44.6,41.0,86.9,87.3,8.51,0.7530965
FCM08,44.6,41.0,88.0,88.9,8.7,0.7530965
FCM08,44.6,41.0,88.9,89.6,8.9,0.7530965
FCM08,44.6,41.0,90.0,91.1,9.09,0.7530965
