설비번호,투입중량_kg,염색길이_m,지시온도,진행온도,공정진행시간_%,염색색차_DE
FCM11,310.4,600,30,29.7,97.64,0.6295673
FCM08,66,49,96.5,96,71.74,0.4358755
FCM12,44.6,35,113.4,112.6,54.63,0.5272802
FCM08,82.4,128,55.8,55.9,21.43,2.207412
FCM06,162,500,120,121.2,31.42,1.815297
FCM05,189.8,266,88.6,88.3,84.26,0.3338742
FCM05,128,273,73,72.6,19.8,0.2007852
FCM11,207.4,550,97.9,97.9,67.26,1.874971
FCM08,51.5,36,103.3,103,36.32,0.8660321
FCM08,77.6,12,90.6,90,47.2,1.354934
FCM05,198.4,500,111.2,110.4,44.03,5.25213
FCM06,162,500,69.3,69.1,91.57,1.815297
FCM06,98.8,300,30,35.2,1.32,0.5957398
FCM08,63.6,10,77.6,,34.55,1.315164
FCM05,167,84,130,129.8,61.2,7.266841
FCM11,295.4,334,35,32.1,6.96,5.220153
FCM12,38.4,32,128.8,127.6,23.97,0.3146644
FCM06,158.6,90,120,121.1,87.34,0.6491697
FCM06,115.1,401,30,34.4,2.93,0.4264583
FCM11,350.8,210,30.5,21.5,6.83,1.542863
FCM08,54.4,119,96.5,96.2,12.18,1.702155
FCM06,158.6,90,30,41,1.87,0.6491697
FCM06,164.6,351,30,38.3,99.2,1.532855
,48,3,30,36.9,0.51,1.644801
FCM05,184.8,105,113.8,112.3,8.1,0.2085338
FCM15,189.1,1600,123.4,122.9,53.02,0.4288969
FCM05,143.6,37,92.6,92.1,33.56,0.6883717
FCM08,95.8,72,70,68.9,36.16,1.355596
FCM08,,3,30,32.9,0.17,1.644801
FCM07,341.8,0,30,33.3,1.79,3.928609
FCM06,113.8,350,51.3,51.9,10.7,0.3047607
FCM11,234.2,,100,99.6,31.4,1.696731
FCM11,0,600,78.1,77.1,34.73,3.03364
FCM11,280,2,128.8,127.8,41.25,0.5512151
FCM12,38.4,32,105.8,105.3,35.81,0.3146644
FCM11,280,2,86.5,86.3,22.92,0.5512151
FCM08,38.8,96,70,66.3,89.82,0.2916726
FCM08,80.1,254,76.4,76,66.37,0.319741
FCM08,71.1,71,130,130,55.93,14.40188
FCM12,38.4,32,130,129.6,68.32,0.3146644
FCM08,53.3,100,91.4,92.1,16.84,0.2996852
FCM06,155.6,33,123.7,,47,1.013855
FCM07,287.2,450,77.8,80.1,67.13,2.161994
FCM05,113,267,118.3,118.2,36.32,5.026582
FCM05,143.6,37,30,39.3,92.47,0.6883717
FCM08,71.1,71,81.3,81.1,37.77,14.40188
FCM05,198.4,500,82.7,82.5,70.9,5.25213
FCM08,63.6,10,81.8,81.9,25.78,1.315164
FCM05,139.6,253,77.6,77.6,17.67,0.5054298
FCM08,55.8,10,70,69.8,92.49,2.042118
